name,ecr_1qb,ecr_2qb,source_date
2026 Pick 1.01,18.3775,10.0325,2026-08-14
2026 Pick 1.02,23.305,19.2675,2026-08-14
2026 Pick 1.03,32.725,28.3575,2026-08-14
2026 Pick 1.04,41.98,37.2825,2026-08-14
2026 Pick 1.05,51.075,46.0475,2026-08-14
2026 Pick 1.06,60.005,54.665,2026-08-14
2026 Pick 1.07,68.77,63.13,2026-08-14
2026 Pick 1.08,77.375,71.44,2026-08-14
2026 Pick 1.09,85.82,79.6,2026-08-14
2026 Pick 1.10,94.115,87.6075,2026-08-14
2026 Pick 1.11,102.26,95.4675,2026-08-14
2026 Pick 1.12,110.25,103.1775,2026-08-14
2026 Pick 2.01,118.095,110.7425,2026-08-14
2026 Pick 2.02,125.785,118.155,2026-08-14
2026 Pick 2.03,133.325,125.42,2026-08-14
2026 Pick 2.04,140.72,132.545,2026-08-14
2026 Pick 2.05,147.965,139.525,2026-08-14
2026 Pick 2.06,155.065,146.37,2026-08-14
2026 Pick 2.07,162.035,153.0725,2026-08-14
2026 Pick 2.08,168.875,159.635,2026-08-14
2026 Pick 2.09,175.555,166.0575,2026-08-14
2026 Pick 2.10,182.09,172.3475,2026-08-14
2026 Pick 2.11,188.47,178.5075,2026-08-14
2026 Pick 2.12,194.715,184.5375,2026-08-14
2026 Pick 3.01,200.845,190.435,2026-08-14
2026 Pick 3.02,206.86,196.19,2026-08-14
2026 Pick 3.03,212.735,201.775,2026-08-14
2026 Pick 3.04,218.45,207.2175,2026-08-14
2026 Pick 3.05,224.03,212.5225,2026-08-14
2026 Pick 3.06,229.49,217.7,2026-08-14
2026 Pick 3.07,234.84,222.7525,2026-08-14
2026 Pick 3.08,240.105,227.7025,2026-08-14
2026 Pick 3.09,245.31,232.5425,2026-08-14
2026 Pick 3.10,250.455,237.2075,2026-08-14
2026 Pick 3.11,255.535,241.6925,2026-08-14
2026 Pick 3.12,260.505,246.03,2026-08-14
2026 Pick 4.01,265.34,250.005,2026-08-14
2026 Pick 4.02,270.005,253.87,2026-08-14
2026 Pick 4.03,274.465,257.6775,2026-08-14
2026 Pick 4.04,278.785,261.425,2026-08-14
2026 Pick 4.05,283.04,265.0825,2026-08-14
2026 Pick 4.06,287.2,268.6525,2026-08-14
2026 Pick 4.07,291.245,272.1275,2026-08-14
2026 Pick 4.08,295.135,275.5125,2026-08-14
2026 Pick 4.09,298.845,278.7975,2026-08-14
2026 Pick 4.10,302.355,281.98,2026-08-14
2026 Pick 4.11,305.68,285.0725,2026-08-14
2026 Pick 4.12,308.865,288.095,2026-08-14
2026 Pick 5.01,311.94,291.0475,2026-08-14
2026 Pick 5.02,314.955,293.96,2026-08-14
2026 Pick 5.03,317.815,296.78,2026-08-14
2026 Pick 5.04,320.445,299.51,2026-08-14
2026 Pick 5.05,322.895,302.1675,2026-08-14
2026 Pick 5.06,325.23,304.76,2026-08-14
2026 Pick 5.07,327.515,307.305,2026-08-14
2026 Pick 5.08,329.805,309.8225,2026-08-14
2026 Pick 5.09,332.08,312.26,2026-08-14
2026 Pick 5.10,334.23,314.59,2026-08-14
2026 Pick 5.11,336.24,316.8375,2026-08-14
2026 Pick 5.12,338.135,319.015,2026-08-14
2027 Early 1st,38.5923452686898,33.2304702686898,2026-08-14
2027 Late 1st,107.60672026869,100.95859526869,2026-08-14
2027 Mid 1st,73.8017202686898,68.3160952686898,2026-08-14
2027 Early 2nd,138.97672026869,131.21109526869,2026-08-14
2027 Late 2nd,194.70297026869,184.85797026869,2026-08-14
2027 Mid 2nd,167.98047026869,159.14609526869,2026-08-14
2027 Early 3rd,219.21797026869,208.39984526869,2026-08-14
2027 Late 3rd,262.44672026869,248.86359526869,2026-08-14
2027 Mid 3rd,241.61172026869,229.66484526869,2026-08-14
2027 Early 4th,281.64422026869,265.23984526869,2026-08-14
2027 Late 4th,313.43172026869,292.98172026869,2026-08-14
2027 Mid 4th,298.65047026869,279.83922026869,2026-08-14
2027 Early 5th,325.78422026869,304.81984526869,2026-08-14
2027 Late 5th,344.66672026869,325.17109526869,2026-08-14
2027 Mid 5th,335.85672026869,315.50922026869,2026-08-14
2027 1st,73.3335952686898,67.5017202686898,2026-08-14
2027 2nd,167.220053602023,158.405053602023,2026-08-14
2027 3rd,241.092136935356,228.97609526869,2026-08-14
2027 4th,297.908803602023,279.35359526869,2026-08-14
2027 5th,335.435886935356,315.16672026869,2026-08-14
2028 1st,82.8290655373795,76.9971905373795,2026-08-14
2028 2nd,176.715523870713,167.900523870713,2026-08-14
2028 3rd,250.587607204046,238.47156553738,2026-08-14
2028 4th,307.404273870713,288.84906553738,2026-08-14
2028 5th,344.931357204046,324.66219053738,2026-08-14
