name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Ja'Marr Chase,WR,CIN,1,6.4,10256,9034,2026-08-14
Jaxon Smith-Njigba,WR,SEA,2.7,8.8,9854,8538,2026-08-14
Bijan Robinson,RB,ATL,4,12,9558,7920,2026-08-14
Justin Jefferson,WR,MIN,5.7,12.4,9184,7846,2026-08-14
Amon-Ra St. Brown,WR,DET,6,14.1,9119,7539,2026-08-14
Jahmyr Gibbs,RB,DET,6.1,16,9098,7209,2026-08-14
Puka Nacua,WR,LAR,6.2,13.8,9076,7592,2026-08-14
CeeDee Lamb,WR,DAL,6.5,14.7,9013,7433,2026-08-14
Ashton Jeanty,RB,LV,9.5,21.4,8399,6350,2026-08-14
Malik Nabers,WR,NYG,11.4,23.7,8032,6016,2026-08-14
Jeremiyah Love,RB,ARI,11.8,24.6,7957,5890,2026-08-14
Drake London,WR,ATL,15.6,27.2,7277,5541,2026-08-14
Omarion Hampton,RB,LAC,16.7,29.9,7092,5200,2026-08-14
Josh Allen,QB,BUF,16.8,1.1,7075,10232,2026-08-14
Tetairoa McMillan,WR,CAR,17.3,31.1,6992,5056,2026-08-14
James Cook III,RB,BUF,18,31.6,6878,4997,2026-08-14
Garrett Wilson,WR,NYJ,21.2,33.5,6380,4778,2026-08-14
Emeka Egbuka,WR,TB,21.4,34.7,6350,4646,2026-08-14
Jonathan Taylor,RB,IND,21.7,35.1,6306,4602,2026-08-14
Nico Collins,WR,HOU,22,36.1,6261,4495,2026-08-14
Chris Olave,WR,NO,22.6,35.8,6174,4527,2026-08-14
De'Von Achane,RB,MIA,22.8,34.9,6145,4624,2026-08-14
Breece Hall,RB,NYJ,24,35.6,5974,4548,2026-08-14
Brock Bowers,TE,LV,24.8,36.3,5862,4474,2026-08-14
Drake Maye,QB,NE,25,20.9,5835,6425,2026-08-14
A.J. Brown,WR,NE,26.4,38.5,5646,4249,2026-08-14
Trey McBride,TE,ARI,28.1,39.6,5425,4140,2026-08-14
Kenneth Walker III,RB,KC,28.6,42.1,5362,3904,2026-08-14
Carnell Tate,WR,TEN,29.3,42.1,5274,3904,2026-08-14
DeVonta Smith,WR,PHI,30.3,43.7,5152,3760,2026-08-14
Ladd McConkey,WR,LAC,31.3,43.8,5032,3751,2026-08-14
George Pickens,WR,DAL,31.5,34.4,5008,4678,2026-08-14
Lamar Jackson,QB,BAL,31.7,5.7,4985,9184,2026-08-14
Jayden Daniels,QB,WAS,33.1,13.8,4824,7592,2026-08-14
Marvin Harrison Jr.,WR,ARI,35.3,44,4581,3734,2026-08-14
Luther Burden III,WR,CHI,35.8,48,4527,3399,2026-08-14
Jaylen Waddle,WR,DEN,35.9,47.8,4516,3415,2026-08-14
Patrick Mahomes II,QB,KC,36.3,8.5,4474,8599,2026-08-14
Zay Flowers,WR,BAL,36.7,46.5,4432,3521,2026-08-14
Christian McCaffrey,RB,SF,37.4,48.1,4360,3391,2026-08-14
Colston Loveland,TE,CHI,37.6,50.9,4340,3175,2026-08-14
Rome Odunze,WR,CHI,37.9,50.6,4309,3197,2026-08-14
Chase Brown,RB,CIN,39.4,52.4,4160,3065,2026-08-14
Jordyn Tyson,WR,NO,40.9,53.1,4016,3015,2026-08-14
Joe Burrow,QB,CIN,41.6,9.5,3950,8399,2026-08-14
Rashee Rice,WR,KC,41.9,54.5,3922,2917,2026-08-14
Makai Lemon,WR,PHI,42.8,55.8,3840,2829,2026-08-14
Sam LaPorta,TE,DET,43.1,52.5,3813,3058,2026-08-14
Tee Higgins,WR,CIN,44.4,53.7,3699,2973,2026-08-14
Tyler Warren,TE,IND,44.5,57.5,3690,2719,2026-08-14
Jalen Hurts,QB,PHI,45.2,12.3,3630,7864,2026-08-14
Caleb Williams,QB,CHI,46.7,10.1,3504,8282,2026-08-14
TreVeyon Henderson,RB,NE,48.9,61,3328,2504,2026-08-14
Justin Herbert,QB,LAC,48.9,12.9,3328,7754,2026-08-14
Saquon Barkley,RB,PHI,49.4,65.2,3289,2269,2026-08-14
Tucker Kraft,TE,GB,50.9,63.4,3175,2367,2026-08-14
Travis Etienne Jr.,RB,NO,52.5,65,3058,2279,2026-08-14
Jameson Williams,WR,DET,54.6,66.3,2910,2211,2026-08-14
Quinshon Judkins,RB,CLE,54.6,66.3,2910,2211,2026-08-14
Harold Fannin Jr.,TE,CLE,54.9,66.8,2890,2185,2026-08-14
Kyren Williams,RB,LAR,55.1,72.3,2876,1920,2026-08-14
Kyle Pitts Sr.,TE,ATL,57,74.3,2751,1832,2026-08-14
Trevor Lawrence,QB,JAC,57.5,20.9,2719,6425,2026-08-14
Brian Thomas Jr.,WR,JAC,60.6,71.9,2528,1938,2026-08-14
DJ Moore,WR,BUF,64,88.1,2334,1324,2026-08-14
DK Metcalf,WR,PIT,65.5,96.3,2253,1092,2026-08-14
Christian Watson,WR,GB,66.7,78.1,2190,1675,2026-08-14
Jaxson Dart,QB,NYG,67,20.1,2175,6547,2026-08-14
Dalton Kincaid,TE,BUF,68.3,79.1,2109,1636,2026-08-14
Bucky Irving,RB,TB,68.6,79.9,2094,1606,2026-08-14
