name,team,position,rank,projection,proj_3yr,trade_value,source_date
B Aubrey,DAL,K,1.0,177.0,406.0,18.0,2026-08-25
J Bates,DET,K,2.0,150.0,366.0,14.0,2026-08-25
K Fairbairn,HOU,K,3.0,158.0,368.0,12.0,2026-08-25
C Dicker,LAC,K,4.0,170.0,336.0,12.0,2026-08-25
C McLaughlin,TB,K,5.0,145.0,348.0,10.0,2026-08-25
H Butker,KC,K,6.0,148.0,337.0,8.0,2026-08-25
J Elliott,PHI,K,7.0,143.0,340.0,8.0,2026-08-25
E McPherson,CIN,K,8.0,151.0,304.0,6.0,2026-08-25
T Loop,BAL,K,9.0,153.0,296.0,6.0,2026-08-25
W Reichard,MIN,K,10.0,148.0,299.0,5.0,2026-08-25
W Lutz,DEN,K,11.0,148.0,319.0,4.0,2026-08-25
C Little,JAX,K,12.0,151.0,285.0,3.0,2026-08-25
C Boswell,PIT,K,13.0,144.0,312.0,0.0,2026-08-25
