name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Allen,BUF,QB,1.0,382.0,1030.0,100.0,2026-08-18
D Maye,NE,QB,2.0,343.0,998.0,100.0,2026-08-18
J Daniels,WAS,QB,3.0,338.0,1030.0,94.0,2026-08-18
L Jackson,BAL,QB,4.0,343.0,1016.0,86.0,2026-08-18
J Chase,CIN,WR,5.0,339.0,970.0,84.0,2026-08-18
B Robinson,ATL,RB,6.0,348.0,845.0,84.0,2026-08-18
J Smith-Njigba,SEA,WR,7.0,315.0,953.0,81.0,2026-08-18
J Gibbs,DET,RB,8.0,360.0,833.0,80.0,2026-08-18
P Nacua,LAR,WR,9.0,357.0,920.0,80.0,2026-08-18
J Burrow,CIN,QB,10.0,340.0,974.0,79.0,2026-08-18
C Williams,CHI,QB,11.0,327.0,937.0,75.0,2026-08-18
J Love,ARI,RB,12.0,241.0,739.0,71.0,2026-08-18
P Mahomes,KC,QB,13.0,312.0,938.0,70.0,2026-08-18
A St. Brown,DET,WR,14.0,316.0,881.0,70.0,2026-08-18
J Herbert,LAC,QB,15.0,330.0,926.0,70.0,2026-08-18
C Lamb,DAL,WR,16.0,301.0,881.0,69.0,2026-08-18
J Jefferson,MIN,WR,17.0,292.0,875.0,69.0,2026-08-18
A Jeanty,LV,RB,18.0,295.0,721.0,69.0,2026-08-18
M Nabers,NYG,WR,19.0,237.0,850.0,68.0,2026-08-18
J Hurts,PHI,QB,20.0,335.0,965.0,67.0,2026-08-18
J Taylor,IND,RB,21.0,301.0,735.0,63.0,2026-08-18
D Achane,MIA,RB,22.0,272.0,737.0,63.0,2026-08-18
D London,ATL,WR,23.0,277.0,816.0,62.0,2026-08-18
O Hampton,LAC,RB,24.0,256.0,707.0,62.0,2026-08-18
T Lawrence,JAX,QB,25.0,333.0,891.0,61.0,2026-08-18
N Collins,HOU,WR,26.0,270.0,804.0,58.0,2026-08-18
B Bowers,LV,TE,27.0,259.0,848.0,54.0,2026-08-18
B Purdy,SF,QB,28.0,331.0,873.0,54.0,2026-08-18
T McBride,ARI,TE,29.0,253.0,849.0,51.0,2026-08-18
B Nix,DEN,QB,30.0,315.0,874.0,50.0,2026-08-18
J Dart,NYG,QB,31.0,322.0,832.0,50.0,2026-08-18
T McMillan,CAR,WR,32.0,223.0,729.0,48.0,2026-08-18
J Cook,BUF,RB,33.0,295.0,622.0,46.0,2026-08-18
G Pickens,DAL,WR,34.0,262.0,709.0,45.0,2026-08-18
C Olave,NO,WR,35.0,256.0,707.0,44.0,2026-08-18
E Egbuka,TB,WR,36.0,223.0,664.0,43.0,2026-08-18
D Prescott,DAL,QB,37.0,328.0,871.0,43.0,2026-08-18
C Loveland,CHI,TE,38.0,241.0,728.0,42.0,2026-08-18
K Walker III,KC,RB,39.0,270.0,572.0,42.0,2026-08-18
Z Flowers,BAL,WR,40.0,253.0,702.0,42.0,2026-08-18
B Hall,NYJ,RB,41.0,252.0,564.0,40.0,2026-08-18
C McCaffrey,SF,RB,42.0,333.0,579.0,40.0,2026-08-18
T Henderson,NE,RB,43.0,192.0,564.0,39.0,2026-08-18
J Love,GB,QB,44.0,300.0,870.0,38.0,2026-08-18
C Stroud,HOU,QB,45.0,279.0,820.0,38.0,2026-08-18
F Mendoza,LV,QB,46.0,200.0,821.0,38.0,2026-08-18
S Barkley,PHI,RB,47.0,269.0,551.0,36.0,2026-08-18
B Mayfield,TB,QB,48.0,295.0,832.0,36.0,2026-08-18
K Murray,MIN,QB,49.0,328.0,851.0,35.0,2026-08-18
G Wilson,NYJ,WR,50.0,244.0,645.0,35.0,2026-08-18
L McConkey,LAC,WR,51.0,221.0,655.0,35.0,2026-08-18
Q Judkins,CLE,RB,52.0,204.0,513.0,35.0,2026-08-18
R Rice,KC,WR,53.0,279.0,634.0,34.0,2026-08-18
J Goff,DET,QB,54.0,306.0,852.0,34.0,2026-08-18
T Higgins,CIN,WR,55.0,244.0,669.0,34.0,2026-08-18
C Tate,TEN,WR,56.0,201.0,618.0,34.0,2026-08-18
T Shough,NO,QB,57.0,300.0,804.0,33.0,2026-08-18
