name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Allen,BUF,QB,1.0,379.0,1023.0,100.0,2026-08-18
D Maye,NE,QB,2.0,340.0,983.0,97.0,2026-08-18
J Daniels,WAS,QB,3.0,334.0,1018.0,93.0,2026-08-18
L Jackson,BAL,QB,4.0,340.0,1000.0,82.0,2026-08-18
J Burrow,CIN,QB,5.0,337.0,974.0,79.0,2026-08-18
C Williams,CHI,QB,6.0,324.0,926.0,71.0,2026-08-18
B Robinson,ATL,RB,7.0,276.0,690.0,71.0,2026-08-18
J Herbert,LAC,QB,8.0,326.0,926.0,69.0,2026-08-18
P Mahomes,KC,QB,9.0,309.0,933.0,68.0,2026-08-18
J Chase,CIN,WR,10.0,215.0,655.0,65.0,2026-08-18
J Hurts,PHI,QB,11.0,331.0,960.0,65.0,2026-08-18
J Gibbs,DET,RB,12.0,285.0,651.0,64.0,2026-08-18
J Love,ARI,RB,13.0,191.0,608.0,60.0,2026-08-18
J Taylor,IND,RB,14.0,255.0,642.0,59.0,2026-08-18
T Lawrence,JAX,QB,15.0,329.0,884.0,58.0,2026-08-18
J Jefferson,MIN,WR,16.0,190.0,598.0,55.0,2026-08-18
A Jeanty,LV,RB,17.0,231.0,571.0,55.0,2026-08-18
J Smith-Njigba,SEA,WR,18.0,210.0,578.0,54.0,2026-08-18
O Hampton,LAC,RB,19.0,210.0,589.0,53.0,2026-08-18
P Nacua,LAR,WR,20.0,228.0,557.0,52.0,2026-08-18
C Lamb,DAL,WR,21.0,196.0,575.0,51.0,2026-08-18
M Nabers,NYG,WR,22.0,152.0,545.0,49.0,2026-08-18
A St. Brown,DET,WR,23.0,201.0,554.0,48.0,2026-08-18
B Purdy,SF,QB,24.0,327.0,858.0,48.0,2026-08-18
D London,ATL,WR,25.0,178.0,541.0,47.0,2026-08-18
J Dart,NYG,QB,26.0,319.0,830.0,47.0,2026-08-18
D Achane,MIA,RB,27.0,211.0,560.0,47.0,2026-08-18
N Collins,HOU,WR,28.0,182.0,543.0,46.0,2026-08-18
B Nix,DEN,QB,29.0,312.0,863.0,44.0,2026-08-18
J Cook,BUF,RB,30.0,254.0,526.0,40.0,2026-08-18
G Pickens,DAL,WR,31.0,177.0,491.0,39.0,2026-08-18
D Prescott,DAL,QB,32.0,325.0,863.0,38.0,2026-08-18
K Walker III,KC,RB,33.0,219.0,498.0,38.0,2026-08-18
T McMillan,CAR,WR,34.0,147.0,480.0,37.0,2026-08-18
T McBride,ARI,TE,35.0,148.0,523.0,37.0,2026-08-18
B Bowers,LV,TE,36.0,159.0,492.0,36.0,2026-08-18
J Love,GB,QB,37.0,296.0,869.0,34.0,2026-08-18
Q Judkins,CLE,RB,38.0,175.0,457.0,33.0,2026-08-18
C Loveland,CHI,TE,39.0,154.0,462.0,33.0,2026-08-18
F Mendoza,LV,QB,40.0,198.0,812.0,32.0,2026-08-18
S Barkley,PHI,RB,41.0,228.0,466.0,31.0,2026-08-18
C Olave,NO,WR,42.0,165.0,447.0,31.0,2026-08-18
C Stroud,HOU,QB,43.0,276.0,808.0,31.0,2026-08-18
Z Flowers,BAL,WR,44.0,163.0,449.0,30.0,2026-08-18
C McCaffrey,SF,RB,45.0,254.0,457.0,30.0,2026-08-18
B Mayfield,TB,QB,46.0,291.0,822.0,29.0,2026-08-18
K Murray,MIN,QB,47.0,325.0,840.0,29.0,2026-08-18
J Williams,DET,WR,48.0,147.0,443.0,29.0,2026-08-18
J Goff,DET,QB,49.0,303.0,847.0,29.0,2026-08-18
B Hall,NYJ,RB,50.0,197.0,432.0,29.0,2026-08-18
E Egbuka,TB,WR,51.0,145.0,405.0,28.0,2026-08-18
T Henderson,NE,RB,52.0,156.0,437.0,28.0,2026-08-18
T Shough,NO,QB,53.0,296.0,800.0,28.0,2026-08-18
T Higgins,CIN,WR,54.0,166.0,440.0,28.0,2026-08-18
J Jacobs,GB,RB,55.0,213.0,444.0,26.0,2026-08-18
R Rice,KC,WR,56.0,175.0,412.0,26.0,2026-08-18
A Brown,NE,WR,57.0,177.0,426.0,26.0,2026-08-18
C Ward,TEN,QB,58.0,264.0,788.0,26.0,2026-08-18
S Darnold,SEA,QB,59.0,261.0,810.0,25.0,2026-08-18
J Waddle,DEN,WR,60.0,151.0,425.0,25.0,2026-08-18
C Tate,TEN,WR,61.0,131.0,396.0,25.0,2026-08-18
M Lemon,PHI,WR,62.0,109.0,411.0,25.0,2026-08-18
L McConkey,LAC,WR,63.0,143.0,415.0,25.0,2026-08-18
B Irving,TB,RB,64.0,169.0,396.0,25.0,2026-08-18
K Williams,LAR,RB,65.0,201.0,385.0,24.0,2026-08-18
C Brown,CIN,RB,66.0,207.0,397.0,24.0,2026-08-18
G Wilson,NYJ,WR,67.0,150.0,400.0,24.0,2026-08-18
J Price,SEA,RB,68.0,152.0,406.0,23.0,2026-08-18
D Smith,PHI,WR,69.0,155.0,404.0,23.0,2026-08-18
L Burden III,CHI,WR,70.0,144.0,386.0,23.0,2026-08-18
J Tyson,NO,WR,71.0,95.0,392.0,22.0,2026-08-18
T Warren,IND,TE,72.0,139.0,369.0,22.0,2026-08-18
C Watson,GB,WR,73.0,162.0,413.0,22.0,2026-08-18
M Willis,MIA,QB,74.0,275.0,821.0,22.0,2026-08-18
T Kraft,GB,TE,75.0,127.0,371.0,21.0,2026-08-18
H Fannin Jr.,CLE,TE,76.0,120.0,337.0,21.0,2026-08-18
R Odunze,CHI,WR,77.0,140.0,383.0,21.0,2026-08-18
D Henry,BAL,RB,78.0,244.0,378.0,21.0,2026-08-18
B Young,CAR,QB,79.0,247.0,759.0,21.0,2026-08-18
M Stafford,LAR,QB,80.0,299.0,845.0,20.0,2026-08-18
D Jones,IND,QB,81.0,277.0,739.0,19.0,2026-08-18
K Concepcion,CLE,WR,82.0,113.0,355.0,18.0,2026-08-18
B Thomas Jr.,JAX,WR,83.0,128.0,358.0,18.0,2026-08-18
D Metcalf,PIT,WR,84.0,138.0,366.0,18.0,2026-08-18
J Addison,MIN,WR,85.0,128.0,356.0,17.0,2026-08-18
T McLaurin,WAS,WR,86.0,144.0,375.0,17.0,2026-08-18
M Harrison Jr.,ARI,WR,87.0,132.0,348.0,17.0,2026-08-18
K Pitts,ATL,TE,88.0,111.0,321.0,17.0,2026-08-18
T Simpson,LAR,QB,89.0,30.0,751.0,17.0,2026-08-18
M Evans,SF,WR,90.0,148.0,375.0,16.0,2026-08-18
D Moore,BUF,WR,91.0,138.0,358.0,16.0,2026-08-18
S LaPorta,DET,TE,92.0,124.0,308.0,16.0,2026-08-18
C Skattebo,NYG,RB,93.0,181.0,321.0,16.0,2026-08-18
J Williams,DAL,RB,94.0,205.0,340.0,16.0,2026-08-18
C Sutton,DEN,WR,95.0,131.0,358.0,15.0,2026-08-18
A Pierce,IND,WR,96.0,114.0,353.0,15.0,2026-08-18
X Worthy,KC,WR,97.0,122.0,330.0,15.0,2026-08-18
P Washington,JAX,WR,98.0,138.0,328.0,15.0,2026-08-18
M Wilson,ARI,WR,99.0,111.0,351.0,15.0,2026-08-18
D Boston,CLE,WR,100.0,95.0,333.0,14.0,2026-08-18
D Adams,LAR,WR,101.0,156.0,362.0,14.0,2026-08-18
J Higgins,HOU,WR,102.0,111.0,326.0,14.0,2026-08-18
T Etienne,NO,RB,103.0,190.0,350.0,14.0,2026-08-18
