name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Allen,BUF,QB,1.0,379.0,1023.0,100.0,2026-08-18
D Maye,NE,QB,2.0,340.0,983.0,97.0,2026-08-18
J Daniels,WAS,QB,3.0,334.0,1018.0,93.0,2026-08-18
J Chase,CIN,WR,4.0,339.0,969.0,84.0,2026-08-18
L Jackson,BAL,QB,5.0,340.0,1000.0,84.0,2026-08-18
B Bowers,LV,TE,6.0,309.0,1026.0,84.0,2026-08-18
B Robinson,ATL,RB,7.0,346.0,840.0,83.0,2026-08-18
J Smith-Njigba,SEA,WR,8.0,315.0,953.0,81.0,2026-08-18
J Burrow,CIN,QB,9.0,337.0,974.0,81.0,2026-08-18
J Gibbs,DET,RB,10.0,359.0,827.0,80.0,2026-08-18
P Nacua,LAR,WR,11.0,357.0,917.0,79.0,2026-08-18
T McBride,ARI,TE,12.0,306.0,1012.0,78.0,2026-08-18
C Williams,CHI,QB,13.0,324.0,926.0,74.0,2026-08-18
J Herbert,LAC,QB,14.0,326.0,926.0,71.0,2026-08-18
P Mahomes,KC,QB,15.0,309.0,933.0,71.0,2026-08-18
J Love,ARI,RB,16.0,240.0,734.0,70.0,2026-08-18
A St. Brown,DET,WR,17.0,316.0,881.0,70.0,2026-08-18
C Lamb,DAL,WR,18.0,301.0,881.0,69.0,2026-08-18
J Jefferson,MIN,WR,19.0,292.0,875.0,69.0,2026-08-18
M Nabers,NYG,WR,20.0,237.0,847.0,68.0,2026-08-18
A Jeanty,LV,RB,21.0,293.0,716.0,68.0,2026-08-18
J Hurts,PHI,QB,22.0,331.0,960.0,68.0,2026-08-18
C Loveland,CHI,TE,23.0,284.0,861.0,66.0,2026-08-18
D Achane,MIA,RB,24.0,270.0,737.0,63.0,2026-08-18
J Taylor,IND,RB,25.0,299.0,731.0,63.0,2026-08-18
D London,ATL,WR,26.0,277.0,816.0,62.0,2026-08-18
T Lawrence,JAX,QB,27.0,329.0,884.0,62.0,2026-08-18
O Hampton,LAC,RB,28.0,254.0,704.0,61.0,2026-08-18
N Collins,HOU,WR,29.0,270.0,804.0,58.0,2026-08-18
B Purdy,SF,QB,30.0,327.0,858.0,52.0,2026-08-18
J Dart,NYG,QB,31.0,319.0,830.0,51.0,2026-08-18
H Fannin Jr.,CLE,TE,32.0,236.0,662.0,50.0,2026-08-18
T Warren,IND,TE,33.0,267.0,703.0,50.0,2026-08-18
B Nix,DEN,QB,34.0,312.0,863.0,49.0,2026-08-18
T McMillan,CAR,WR,35.0,223.0,729.0,48.0,2026-08-18
J Cook,BUF,RB,36.0,293.0,620.0,46.0,2026-08-18
G Pickens,DAL,WR,37.0,262.0,706.0,45.0,2026-08-18
C Olave,NO,WR,38.0,256.0,707.0,44.0,2026-08-18
T Kraft,GB,TE,39.0,230.0,661.0,44.0,2026-08-18
E Egbuka,TB,WR,40.0,223.0,664.0,44.0,2026-08-18
D Prescott,DAL,QB,41.0,325.0,863.0,43.0,2026-08-18
K Walker III,KC,RB,42.0,268.0,572.0,42.0,2026-08-18
Z Flowers,BAL,WR,43.0,253.0,699.0,41.0,2026-08-18
B Hall,NYJ,RB,44.0,250.0,559.0,40.0,2026-08-18
J Love,GB,QB,45.0,296.0,869.0,40.0,2026-08-18
C McCaffrey,SF,RB,46.0,331.0,577.0,40.0,2026-08-18
T Henderson,NE,RB,47.0,190.0,561.0,39.0,2026-08-18
K Pitts,ATL,TE,48.0,223.0,589.0,38.0,2026-08-18
F Mendoza,LV,QB,49.0,198.0,812.0,37.0,2026-08-18
C Stroud,HOU,QB,50.0,276.0,808.0,36.0,2026-08-18
S Barkley,PHI,RB,51.0,268.0,547.0,36.0,2026-08-18
G Wilson,NYJ,WR,52.0,244.0,645.0,36.0,2026-08-18
K Sadiq,NYJ,TE,53.0,168.0,548.0,35.0,2026-08-18
B Mayfield,TB,QB,54.0,291.0,822.0,35.0,2026-08-18
L McConkey,LAC,WR,55.0,221.0,655.0,35.0,2026-08-18
K Murray,MIN,QB,56.0,325.0,840.0,35.0,2026-08-18
R Rice,KC,WR,57.0,279.0,634.0,35.0,2026-08-18
Q Judkins,CLE,RB,58.0,202.0,510.0,35.0,2026-08-18
J Goff,DET,QB,59.0,303.0,847.0,35.0,2026-08-18
T Higgins,CIN,WR,60.0,244.0,669.0,34.0,2026-08-18
S LaPorta,DET,TE,61.0,231.0,562.0,34.0,2026-08-18
C Tate,TEN,WR,62.0,201.0,618.0,34.0,2026-08-18
T Shough,NO,QB,63.0,296.0,800.0,34.0,2026-08-18
C Brown,CIN,RB,64.0,267.0,491.0,33.0,2026-08-18
J Jacobs,GB,RB,65.0,254.0,528.0,32.0,2026-08-18
C Ward,TEN,QB,66.0,264.0,788.0,32.0,2026-08-18
D Smith,PHI,WR,67.0,242.0,634.0,32.0,2026-08-18
L Burden III,CHI,WR,68.0,223.0,606.0,32.0,2026-08-18
S Darnold,SEA,QB,69.0,261.0,810.0,32.0,2026-08-18
A Brown,NE,WR,70.0,272.0,637.0,31.0,2026-08-18
B Irving,TB,RB,71.0,210.0,478.0,31.0,2026-08-18
J Waddle,DEN,WR,72.0,235.0,637.0,31.0,2026-08-18
J Williams,DET,WR,73.0,210.0,631.0,30.0,2026-08-18
M Lemon,PHI,WR,74.0,169.0,615.0,30.0,2026-08-18
K Williams,LAR,RB,75.0,233.0,458.0,30.0,2026-08-18
D Kincaid,BUF,TE,76.0,189.0,533.0,29.0,2026-08-18
M Willis,MIA,QB,77.0,275.0,821.0,28.0,2026-08-18
J Tyson,NO,WR,78.0,145.0,596.0,28.0,2026-08-18
R Odunze,CHI,WR,79.0,206.0,598.0,27.0,2026-08-18
B Young,CAR,QB,80.0,247.0,759.0,27.0,2026-08-18
M Stafford,LAR,QB,81.0,299.0,845.0,26.0,2026-08-18
O Gadsden II,LAC,TE,82.0,155.0,489.0,26.0,2026-08-18
D Jones,IND,QB,83.0,277.0,739.0,26.0,2026-08-18
J Ferguson,DAL,TE,84.0,200.0,533.0,26.0,2026-08-18
J Price,SEA,RB,85.0,173.0,456.0,26.0,2026-08-18
E Stowers,PHI,TE,86.0,82.0,502.0,24.0,2026-08-18
C Watson,GB,WR,87.0,226.0,592.0,23.0,2026-08-18
T Simpson,LAR,QB,88.0,30.0,751.0,23.0,2026-08-18
D Henry,BAL,RB,89.0,262.0,409.0,22.0,2026-08-18
C Skattebo,NYG,RB,90.0,225.0,392.0,22.0,2026-08-18
K Concepcion,CLE,WR,91.0,176.0,533.0,22.0,2026-08-18
G Kittle,SF,TE,92.0,216.0,529.0,21.0,2026-08-18
T McLaurin,WAS,WR,93.0,219.0,571.0,21.0,2026-08-18
J Williams,DAL,RB,94.0,240.0,409.0,20.0,2026-08-18
B Thomas Jr.,JAX,WR,95.0,189.0,529.0,20.0,2026-08-18
J Addison,MIN,WR,96.0,196.0,532.0,20.0,2026-08-18
T Etienne,NO,RB,97.0,229.0,435.0,20.0,2026-08-18
T Tagovailoa,ATL,QB,98.0,114.0,687.0,20.0,2026-08-18
S Sanders,CLE,QB,99.0,108.0,629.0,20.0,2026-08-18
M Harrison Jr.,ARI,WR,100.0,196.0,512.0,19.0,2026-08-18
P Washington,JAX,WR,101.0,211.0,515.0,19.0,2026-08-18
D Moore,BUF,WR,102.0,209.0,544.0,19.0,2026-08-18
D Metcalf,PIT,WR,103.0,207.0,531.0,19.0,2026-08-18
