name,team,position,rank,projection,proj_3yr,trade_value,source_date
B Robinson,ATL,RB,1.0,276.0,690.0,100.0,2026-08-18
J Chase,CIN,WR,2.0,215.0,655.0,92.0,2026-08-18
J Gibbs,DET,RB,3.0,285.0,651.0,90.0,2026-08-18
J Love,ARI,RB,4.0,191.0,608.0,85.0,2026-08-18
J Taylor,IND,RB,5.0,255.0,642.0,83.0,2026-08-18
J Jefferson,MIN,WR,6.0,190.0,598.0,78.0,2026-08-18
A Jeanty,LV,RB,7.0,231.0,571.0,77.0,2026-08-18
J Smith-Njigba,SEA,WR,8.0,210.0,578.0,75.0,2026-08-18
O Hampton,LAC,RB,9.0,210.0,589.0,75.0,2026-08-18
P Nacua,LAR,WR,10.0,228.0,557.0,73.0,2026-08-18
C Lamb,DAL,WR,11.0,196.0,575.0,72.0,2026-08-18
M Nabers,NYG,WR,12.0,152.0,545.0,69.0,2026-08-18
A St. Brown,DET,WR,13.0,201.0,554.0,68.0,2026-08-18
D London,ATL,WR,14.0,178.0,541.0,67.0,2026-08-18
D Achane,MIA,RB,15.0,211.0,560.0,66.0,2026-08-18
N Collins,HOU,WR,16.0,182.0,543.0,65.0,2026-08-18
J Cook,BUF,RB,17.0,254.0,526.0,57.0,2026-08-18
G Pickens,DAL,WR,18.0,177.0,491.0,55.0,2026-08-18
K Walker III,KC,RB,19.0,219.0,498.0,54.0,2026-08-18
T McMillan,CAR,WR,20.0,147.0,480.0,52.0,2026-08-18
T McBride,ARI,TE,21.0,148.0,523.0,52.0,2026-08-18
B Bowers,LV,TE,22.0,159.0,492.0,51.0,2026-08-18
Q Judkins,CLE,RB,23.0,175.0,457.0,47.0,2026-08-18
C Loveland,CHI,TE,24.0,154.0,462.0,46.0,2026-08-18
J Allen,BUF,QB,25.0,379.0,1023.0,46.0,2026-08-18
S Barkley,PHI,RB,26.0,228.0,466.0,44.0,2026-08-18
C Olave,NO,WR,27.0,165.0,447.0,43.0,2026-08-18
D Maye,NE,QB,28.0,340.0,983.0,43.0,2026-08-18
Z Flowers,BAL,WR,29.0,163.0,449.0,43.0,2026-08-18
C McCaffrey,SF,RB,30.0,254.0,457.0,42.0,2026-08-18
J Williams,DET,WR,31.0,147.0,443.0,41.0,2026-08-18
B Hall,NYJ,RB,32.0,197.0,432.0,40.0,2026-08-18
E Egbuka,TB,WR,33.0,145.0,405.0,40.0,2026-08-18
