name,team,position,rank,trade_value,source_date
C Schwesinger,CLE,LB,1.0,45.0,2026-08-19
C Gray,TEN,LB,2.0,41.0,2026-08-19
M Garrett,LAR,DL,3.0,36.0,2026-08-19
Z Baun,PHI,LB,4.0,35.0,2026-08-19
J Brooks,MIA,LB,5.0,34.0,2026-08-19
J Campbell,DET,LB,6.0,33.0,2026-08-19
M Crosby,LV,DL,7.0,30.0,2026-08-19
W Anderson Jr.,HOU,DL,8.0,27.0,2026-08-19
A Hutchinson,DET,DL,9.0,26.0,2026-08-19
J Sherwood,NYJ,LB,10.0,24.0,2026-08-19
B Burns,NYG,DL,11.0,23.0,2026-08-19
Q Walker,LV,LB,12.0,21.0,2026-08-19
F Warner,SF,LB,13.0,21.0,2026-08-19
E Cooper,GB,LB,14.0,21.0,2026-08-19
A Van Ginkel,MIN,DL,15.0,21.0,2026-08-19
B Young,LAR,DL,16.0,21.0,2026-08-19
B Cashman,MIN,LB,17.0,20.0,2026-08-19
R Smith,BAL,LB,18.0,20.0,2026-08-19
C Conner,KC,DB,19.0,19.0,2026-08-19
N Bonitto,DEN,DL,20.0,17.0,2026-08-19
F Oluokun,JAX,LB,21.0,17.0,2026-08-19
R Spillane,NE,LB,22.0,16.0,2026-08-19
D Lloyd,CAR,LB,23.0,16.0,2026-08-19
A Winfield Jr.,TB,DB,24.0,16.0,2026-08-19
D Elliott,PIT,DB,25.0,16.0,2026-08-19
T Edwards,CHI,LB,26.0,15.0,2026-08-19
E Jones,SEA,LB,27.0,15.0,2026-08-19
T Watt,PIT,DL,28.0,15.0,2026-08-19
N Dean,LV,LB,29.0,14.0,2026-08-19
D Hunter,HOU,DL,30.0,13.0,2026-08-19
M Fitzpatrick,NYJ,DB,31.0,13.0,2026-08-19
T Tuipulotu,LAC,DL,32.0,13.0,2026-08-19
A Highsmith,PIT,DL,33.0,13.0,2026-08-19
K Hamilton,BAL,DB,34.0,12.0,2026-08-19
G Delpit,CLE,DB,35.0,12.0,2026-08-19
J Chinn,LV,DB,36.0,12.0,2026-08-19
J Verse,CLE,DL,37.0,12.0,2026-08-19
J Simmons,TEN,DL,38.0,12.0,2026-08-19
T Smith,TB,DB,39.0,12.0,2026-08-19
J Hines-Allen,JAX,DL,40.0,11.0,2026-08-19
P Adebo,NYG,DB,41.0,11.0,2026-08-19
D Bush,CHI,LB,42.0,10.0,2026-08-19
