name,team,position,rank,projection,proj_3yr,trade_value,source_date
B Aubrey,DAL,K,1.0,116.0,,18.0,2026-08-25
K Fairbairn,HOU,K,2.0,113.0,,12.0,2026-08-25
C Little,JAC,K,3.0,112.0,,3.0,2026-08-25
J Myers,SEA,K,4.0,111.0,,,2026-08-25
W Reichard,MIN,K,5.0,109.0,,5.0,2026-08-25
C Boswell,PIT,K,6.0,107.0,,0.0,2026-08-25
C Dicker,LAC,K,7.0,106.0,,12.0,2026-08-25
E McPherson,CIN,K,8.0,106.0,,6.0,2026-08-25
T Loop,BAL,K,9.0,106.0,,6.0,2026-08-25
H Mevis,LAR,K,10.0,106.0,,,2026-08-25
C McLaughlin,TB,K,11.0,105.0,,10.0,2026-08-25
J Bates,DET,K,12.0,105.0,,14.0,2026-08-25
T Bass,BUF,K,13.0,103.0,,,2026-08-25
E Pineiro,SF,K,14.0,101.0,,,2026-08-25
H Butker,KC,K,15.0,100.0,,8.0,2026-08-25
W Lutz,DEN,K,16.0,100.0,,4.0,2026-08-25
C Santos,CHI,K,17.0,100.0,,,2026-08-25
B Grupe,IND,K,18.0,99.0,,,2026-08-25
A Borregales,NE,K,19.0,96.0,,,2026-08-25
N Folk,ATL,K,20.0,95.0,,,2026-08-25
C Smyth,NO,K,21.0,93.0,,,2026-08-25
R Fitzgerald,CAR,K,22.0,92.0,,,2026-08-25
J Sanders,NYJ,K,23.0,91.0,,,2026-08-25
J Moody,,K,24.0,91.0,,,2026-08-25
J Elliott,PHI,K,25.0,90.0,,8.0,2026-08-25
C Ryland,ARI,K,26.0,89.0,,,2026-08-25
J Slye,TEN,K,27.0,84.0,,,2026-08-25
A Szmyt,CLE,K,28.0,84.0,,,2026-08-25
M Gay,LV,K,29.0,75.0,,,2026-08-25
T Smack,GB,K,30.0,70.0,,,2026-08-25
Z Gonzalez,,K,31.0,60.0,,,2026-08-25
D Zvada,NYG,K,32.0,56.0,,,2026-08-25
D Carlson,NO,K,33.0,52.0,,,2026-08-25
B McManus,,K,34.0,46.0,,,2026-08-25
B Sauls,NYG,K,35.0,41.0,,,2026-08-25
R Patterson,MIA,K,36.0,37.0,,,2026-08-25
M Badgley,,K,37.0,22.0,,,2026-08-25
