name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Chase,CIN,WR,1.0,339.0,969.0,100.0,2026-08-18
B Robinson,ATL,RB,2.0,346.0,840.0,99.0,2026-08-18
J Smith-Njigba,SEA,WR,3.0,315.0,953.0,96.0,2026-08-18
B Bowers,LV,TE,4.0,309.0,1026.0,96.0,2026-08-18
J Gibbs,DET,RB,5.0,359.0,827.0,95.0,2026-08-18
P Nacua,LAR,WR,6.0,357.0,917.0,94.0,2026-08-18
T McBride,ARI,TE,7.0,306.0,1012.0,89.0,2026-08-18
J Love,ARI,RB,8.0,240.0,734.0,84.0,2026-08-18
A St. Brown,DET,WR,9.0,316.0,881.0,83.0,2026-08-18
C Lamb,DAL,WR,10.0,301.0,881.0,82.0,2026-08-18
J Jefferson,MIN,WR,11.0,292.0,875.0,82.0,2026-08-18
M Nabers,NYG,WR,12.0,237.0,847.0,81.0,2026-08-18
A Jeanty,LV,RB,13.0,293.0,716.0,81.0,2026-08-18
D Achane,MIA,RB,14.0,270.0,737.0,75.0,2026-08-18
C Loveland,CHI,TE,15.0,284.0,861.0,75.0,2026-08-18
J Taylor,IND,RB,16.0,299.0,731.0,75.0,2026-08-18
D London,ATL,WR,17.0,277.0,816.0,74.0,2026-08-18
O Hampton,LAC,RB,18.0,254.0,704.0,73.0,2026-08-18
N Collins,HOU,WR,19.0,270.0,804.0,68.0,2026-08-18
T McMillan,CAR,WR,20.0,223.0,729.0,57.0,2026-08-18
H Fannin Jr.,CLE,TE,21.0,236.0,662.0,56.0,2026-08-18
T Warren,IND,TE,22.0,267.0,703.0,56.0,2026-08-18
J Cook,BUF,RB,23.0,293.0,620.0,54.0,2026-08-18
G Pickens,DAL,WR,24.0,262.0,706.0,53.0,2026-08-18
C Olave,NO,WR,25.0,256.0,707.0,52.0,2026-08-18
E Egbuka,TB,WR,26.0,223.0,664.0,52.0,2026-08-18
K Walker III,KC,RB,27.0,268.0,572.0,50.0,2026-08-18
Z Flowers,BAL,WR,28.0,253.0,699.0,49.0,2026-08-18
T Kraft,GB,TE,29.0,230.0,661.0,48.0,2026-08-18
B Hall,NYJ,RB,30.0,250.0,559.0,48.0,2026-08-18
C McCaffrey,SF,RB,31.0,331.0,577.0,47.0,2026-08-18
T Henderson,NE,RB,32.0,190.0,561.0,46.0,2026-08-18
J Allen,BUF,QB,33.0,379.0,1023.0,45.0,2026-08-18
D Maye,NE,QB,34.0,340.0,983.0,43.0,2026-08-18
S Barkley,PHI,RB,35.0,268.0,547.0,42.0,2026-08-18
G Wilson,NYJ,WR,36.0,244.0,645.0,42.0,2026-08-18
L McConkey,LAC,WR,37.0,221.0,655.0,42.0,2026-08-18
R Rice,KC,WR,38.0,279.0,634.0,41.0,2026-08-18
Q Judkins,CLE,RB,39.0,202.0,510.0,41.0,2026-08-18
K Pitts,ATL,TE,40.0,223.0,589.0,41.0,2026-08-18
T Higgins,CIN,WR,41.0,244.0,669.0,41.0,2026-08-18
C Tate,TEN,WR,42.0,201.0,618.0,40.0,2026-08-18
J Daniels,WAS,QB,43.0,334.0,1018.0,40.0,2026-08-18
C Brown,CIN,RB,44.0,267.0,491.0,39.0,2026-08-18
K Sadiq,NYJ,TE,45.0,168.0,548.0,38.0,2026-08-18
J Jacobs,GB,RB,46.0,254.0,528.0,38.0,2026-08-18
D Smith,PHI,WR,47.0,242.0,634.0,38.0,2026-08-18
L Burden III,CHI,WR,48.0,223.0,606.0,38.0,2026-08-18
A Brown,NE,WR,49.0,272.0,637.0,37.0,2026-08-18
B Irving,TB,RB,50.0,210.0,478.0,37.0,2026-08-18
J Waddle,DEN,WR,51.0,235.0,637.0,37.0,2026-08-18
S LaPorta,DET,TE,52.0,231.0,562.0,37.0,2026-08-18
J Williams,DET,WR,53.0,210.0,631.0,36.0,2026-08-18
M Lemon,PHI,WR,54.0,169.0,615.0,36.0,2026-08-18
K Williams,LAR,RB,55.0,233.0,458.0,35.0,2026-08-18
J Tyson,NO,WR,56.0,145.0,596.0,33.0,2026-08-18
L Jackson,BAL,QB,57.0,340.0,1000.0,33.0,2026-08-18
R Odunze,CHI,WR,58.0,206.0,598.0,33.0,2026-08-18
J Burrow,CIN,QB,59.0,337.0,974.0,32.0,2026-08-18
J Price,SEA,RB,60.0,173.0,456.0,30.0,2026-08-18
C Williams,CHI,QB,61.0,324.0,926.0,30.0,2026-08-18
J Herbert,LAC,QB,62.0,326.0,926.0,29.0,2026-08-18
P Mahomes,KC,QB,63.0,309.0,933.0,29.0,2026-08-18
J Hurts,PHI,QB,64.0,331.0,960.0,28.0,2026-08-18
C Watson,GB,WR,65.0,226.0,592.0,28.0,2026-08-18
D Kincaid,BUF,TE,66.0,189.0,533.0,28.0,2026-08-18
T Lawrence,JAX,QB,67.0,329.0,884.0,26.0,2026-08-18
K Concepcion,CLE,WR,68.0,176.0,533.0,26.0,2026-08-18
D Henry,BAL,RB,69.0,262.0,409.0,26.0,2026-08-18
C Skattebo,NYG,RB,70.0,225.0,392.0,26.0,2026-08-18
T McLaurin,WAS,WR,71.0,219.0,571.0,25.0,2026-08-18
J Williams,DAL,RB,72.0,240.0,409.0,24.0,2026-08-18
B Thomas Jr.,JAX,WR,73.0,189.0,529.0,24.0,2026-08-18
J Addison,MIN,WR,74.0,196.0,532.0,24.0,2026-08-18
T Etienne,NO,RB,75.0,229.0,435.0,24.0,2026-08-18
O Gadsden II,LAC,TE,76.0,155.0,489.0,24.0,2026-08-18
B Purdy,SF,QB,77.0,327.0,858.0,23.0,2026-08-18
P Washington,JAX,WR,78.0,211.0,515.0,23.0,2026-08-18
J Ferguson,DAL,TE,79.0,200.0,533.0,23.0,2026-08-18
M Harrison Jr.,ARI,WR,80.0,196.0,512.0,23.0,2026-08-18
J Dart,NYG,QB,81.0,319.0,830.0,23.0,2026-08-18
D Moore,BUF,WR,82.0,209.0,544.0,23.0,2026-08-18
D Metcalf,PIT,WR,83.0,207.0,531.0,23.0,2026-08-18
M Wilson,ARI,WR,84.0,178.0,547.0,22.0,2026-08-18
D Adams,LAR,WR,85.0,230.0,577.0,22.0,2026-08-18
B Nix,DEN,QB,86.0,312.0,863.0,22.0,2026-08-18
M Evans,SF,WR,87.0,218.0,561.0,22.0,2026-08-18
M Pittman Jr.,PIT,WR,88.0,202.0,527.0,22.0,2026-08-18
X Worthy,KC,WR,89.0,183.0,509.0,22.0,2026-08-18
J Higgins,HOU,WR,90.0,173.0,512.0,22.0,2026-08-18
D Boston,CLE,WR,91.0,148.0,520.0,22.0,2026-08-18
C Sutton,DEN,WR,92.0,199.0,536.0,21.0,2026-08-18
A Pierce,IND,WR,93.0,166.0,535.0,21.0,2026-08-18
E Stowers,PHI,TE,94.0,82.0,502.0,21.0,2026-08-18
W Robinson,TEN,WR,95.0,177.0,517.0,21.0,2026-08-18
K Shakir,BUF,WR,96.0,173.0,515.0,20.0,2026-08-18
B Tuten,JAX,RB,97.0,182.0,343.0,20.0,2026-08-18
D Prescott,DAL,QB,98.0,325.0,863.0,20.0,2026-08-18
J Brooks,CAR,RB,99.0,176.0,352.0,20.0,2026-08-18
D Swift,CHI,RB,100.0,224.0,395.0,20.0,2026-08-18
J Warren,PIT,RB,101.0,202.0,359.0,19.0,2026-08-18
J Love,GB,QB,102.0,296.0,869.0,19.0,2026-08-18
M Golden,GB,WR,103.0,164.0,485.0,19.0,2026-08-18
D Stribling,SF,WR,104.0,143.0,503.0,19.0,2026-08-18
F Mendoza,LV,QB,105.0,198.0,812.0,18.0,2026-08-18
C Stroud,HOU,QB,106.0,276.0,808.0,18.0,2026-08-18
D Montgomery,HOU,RB,107.0,212.0,317.0,18.0,2026-08-18
R Stevenson,NE,RB,108.0,199.0,334.0,18.0,2026-08-18
Z Charbonnet,SEA,RB,109.0,94.0,381.0,18.0,2026-08-18
K Murray,MIN,QB,110.0,325.0,840.0,17.0,2026-08-18
B Mayfield,TB,QB,111.0,291.0,822.0,17.0,2026-08-18
J Goff,DET,QB,112.0,303.0,847.0,17.0,2026-08-18
J Croskey-Merritt,WAS,RB,113.0,156.0,332.0,17.0,2026-08-18
R Doubs,NE,WR,114.0,180.0,482.0,17.0,2026-08-18
T Shough,NO,QB,115.0,296.0,800.0,17.0,2026-08-18
G Kittle,SF,TE,116.0,216.0,529.0,17.0,2026-08-18
J Reed,GB,WR,117.0,198.0,488.0,17.0,2026-08-18
J Meyers,JAX,WR,118.0,194.0,521.0,17.0,2026-08-18
R Harvey,DEN,RB,119.0,165.0,380.0,17.0,2026-08-18
T Pollard,TEN,RB,120.0,178.0,346.0,16.0,2026-08-18
B Corum,LAR,RB,121.0,141.0,347.0,16.0,2026-08-18
C Ward,TEN,QB,122.0,264.0,788.0,16.0,2026-08-18
S Darnold,SEA,QB,123.0,261.0,810.0,16.0,2026-08-18
K Monangai,CHI,RB,124.0,149.0,317.0,16.0,2026-08-18
C Godwin,TB,WR,125.0,189.0,501.0,16.0,2026-08-18
C Hubbard,CAR,RB,126.0,152.0,348.0,16.0,2026-08-18
J Downs,IND,WR,127.0,184.0,454.0,16.0,2026-08-18
W Marks,HOU,RB,128.0,127.0,328.0,16.0,2026-08-18
O Cooper Jr.,NYJ,WR,129.0,131.0,467.0,16.0,2026-08-18
Q Johnston,LAC,WR,130.0,189.0,456.0,15.0,2026-08-18
J Mason,MIN,RB,131.0,162.0,330.0,15.0,2026-08-18
T Spears,TEN,RB,132.0,154.0,308.0,15.0,2026-08-18
K Gainwell,TB,RB,133.0,151.0,317.0,15.0,2026-08-18
P Bryant,DEN,WR,134.0,124.0,465.0,15.0,2026-08-18
J Coleman,DEN,RB,135.0,78.0,320.0,15.0,2026-08-18
M Willis,MIA,QB,136.0,275.0,821.0,14.0,2026-08-18
R Shaheed,SEA,WR,137.0,159.0,467.0,14.0,2026-08-18
C Douglas,MIA,WR,138.0,113.0,458.0,14.0,2026-08-18
R Dowdle,PIT,RB,139.0,182.0,303.0,14.0,2026-08-18
J Lane,BAL,WR,140.0,112.0,449.0,13.0,2026-08-18
I Likely,NYG,TE,141.0,186.0,467.0,13.0,2026-08-18
B Allen,NYJ,RB,142.0,71.0,312.0,13.0,2026-08-18
B Young,CAR,QB,143.0,247.0,759.0,13.0,2026-08-18
G Bernard,PIT,WR,144.0,114.0,456.0,13.0,2026-08-18
J Coker,CAR,WR,145.0,150.0,438.0,13.0,2026-08-18
T Harris,LAC,WR,146.0,116.0,455.0,12.0,2026-08-18
M Stafford,LAR,QB,147.0,299.0,845.0,12.0,2026-08-18
M Fields,NYG,WR,148.0,91.0,447.0,12.0,2026-08-18
J McMillan,TB,WR,149.0,151.0,439.0,12.0,2026-08-18
A Williams,WAS,WR,150.0,78.0,446.0,12.0,2026-08-18
B Strange,JAX,TE,151.0,191.0,456.0,12.0,2026-08-18
D Jones,IND,QB,152.0,277.0,739.0,11.0,2026-08-18
J Dobbins,DEN,RB,153.0,171.0,265.0,10.0,2026-08-18
J Noel,HOU,WR,154.0,112.0,421.0,10.0,2026-08-18
T Hurst,TB,WR,155.0,73.0,430.0,10.0,2026-08-18
D Goedert,PHI,TE,156.0,197.0,460.0,9.0,2026-08-18
T Tracy Jr.,NYG,RB,157.0,116.0,313.0,9.0,2026-08-18
M Washington,MIA,WR,158.0,107.0,434.0,9.0,2026-08-18
R Pearsall,SF,WR,159.0,0.0,475.0,9.0,2026-08-18
A Jones,MIN,RB,160.0,143.0,272.0,9.0,2026-08-18
S Diggs,WAS,WR,161.0,184.0,457.0,8.0,2026-08-18
T Hunter,JAX,WR,162.0,94.0,414.0,8.0,2026-08-18
C Allen,KC,WR,163.0,62.0,425.0,8.0,2026-08-18
J Johnson,NO,TE,164.0,188.0,464.0,8.0,2026-08-18
C Bell,MIA,WR,165.0,87.0,409.0,8.0,2026-08-18
M Andrews,BAL,TE,166.0,187.0,443.0,8.0,2026-08-18
K Boutte,NE,WR,167.0,115.0,407.0,8.0,2026-08-18
T Franklin,DEN,WR,168.0,81.0,416.0,8.0,2026-08-18
T Ferguson,LAR,TE,169.0,140.0,428.0,8.0,2026-08-18
R White,WAS,RB,170.0,149.0,295.0,8.0,2026-08-18
M Lloyd,GB,RB,171.0,95.0,278.0,8.0,2026-08-18
C Rodriguez,JAX,RB,172.0,107.0,257.0,7.0,2026-08-18
N Singleton,TEN,RB,173.0,65.0,268.0,7.0,2026-08-18
J Bech,LV,WR,174.0,87.0,417.0,7.0,2026-08-18
T Allgeier,ARI,RB,175.0,104.0,255.0,7.0,2026-08-18
J Jeudy,CLE,WR,176.0,136.0,433.0,7.0,2026-08-18
E Ayomanor,TEN,WR,177.0,74.0,408.0,7.0,2026-08-18
Z Branch,ATL,WR,178.0,113.0,390.0,7.0,2026-08-18
T Simpson,LAR,QB,179.0,30.0,751.0,6.0,2026-08-18
D Wicks,PHI,WR,180.0,116.0,395.0,6.0,2026-08-18
B Robinson Jr.,ATL,RB,181.0,100.0,302.0,6.0,2026-08-18
E Johnson,KC,RB,182.0,82.0,267.0,6.0,2026-08-18
M Washington Jr.,LV,RB,183.0,75.0,252.0,6.0,2026-08-18
E Arroyo,SEA,TE,184.0,86.0,437.0,6.0,2026-08-18
K Mitchell,LAC,RB,185.0,107.0,266.0,6.0,2026-08-18
T Tucker,LV,WR,186.0,149.0,399.0,6.0,2026-08-18
J Blue,DAL,RB,187.0,88.0,243.0,6.0,2026-08-18
C Brazzell II,CAR,WR,188.0,0.0,418.0,6.0,2026-08-18
J Jennings,MIN,WR,189.0,130.0,419.0,6.0,2026-08-18
R Flournoy,DAL,WR,190.0,115.0,417.0,6.0,2026-08-18
T Kelce,KC,TE,191.0,221.0,465.0,6.0,2026-08-18
K Allen,WAS,RB,192.0,65.0,247.0,5.0,2026-08-18
T Bigsby,PHI,RB,193.0,60.0,274.0,5.0,2026-08-18
H Henry,NE,TE,194.0,177.0,444.0,5.0,2026-08-18
D Sampson,CLE,RB,195.0,126.0,224.0,5.0,2026-08-18
I Pacheco,DET,RB,196.0,116.0,225.0,5.0,2026-08-18
L Allen,JAX,RB,197.0,70.0,245.0,5.0,2026-08-18
B Thompson,LAC,WR,198.0,58.0,400.0,5.0,2026-08-18
C Okonkwo,WAS,TE,199.0,172.0,439.0,4.0,2026-08-18
A Mitchell,NYJ,WR,200.0,141.0,378.0,4.0,2026-08-18
B Lance,NO,WR,201.0,61.0,399.0,4.0,2026-08-18
O Gordon II,MIA,RB,202.0,44.0,251.0,4.0,2026-08-18
T Horton,SEA,WR,203.0,77.0,390.0,4.0,2026-08-18
M Benson,LV,WR,204.0,73.0,392.0,4.0,2026-08-18
A Barner,SEA,TE,205.0,153.0,425.0,4.0,2026-08-18
E Sarratt,BAL,WR,206.0,79.0,381.0,4.0,2026-08-18
T Benson,ARI,RB,207.0,64.0,242.0,4.0,2026-08-18
I TeSlaa,DET,WR,208.0,93.0,372.0,4.0,2026-08-18
G Helm,TEN,TE,209.0,150.0,424.0,4.0,2026-08-18
S Bell,BUF,WR,210.0,45.0,396.0,4.0,2026-08-18
Z Thomas,CHI,WR,211.0,69.0,379.0,3.0,2026-08-18
J Wright,MIA,RB,212.0,52.0,232.0,3.0,2026-08-18
A Randall,BAL,RB,213.0,43.0,231.0,3.0,2026-08-18
S McGowan,IND,RB,214.0,43.0,235.0,3.0,2026-08-18
D Samuel,SF,WR,215.0,174.0,413.0,3.0,2026-08-18
K Black,SF,RB,216.0,53.0,262.0,3.0,2026-08-18
D Claiborne,MIN,RB,217.0,46.0,218.0,2.0,2026-08-18
B Brown,NO,WR,218.0,44.0,384.0,2.0,2026-08-18
P Freiermuth,PIT,TE,219.0,160.0,417.0,2.0,2026-08-18
J Nailor,LV,WR,220.0,136.0,378.0,2.0,2026-08-18
K Coleman,BUF,WR,221.0,96.0,360.0,2.0,2026-08-18
E Wilson,SEA,RB,222.0,54.0,233.0,2.0,2026-08-18
J James,SF,RB,223.0,47.0,226.0,2.0,2026-08-18
M Mims Jr.,DEN,WR,224.0,95.0,364.0,2.0,2026-08-18
K Vidal,LAC,RB,225.0,66.0,246.0,2.0,2026-08-18
M Mayer,LV,TE,226.0,112.0,422.0,1.0,2026-08-18
B Aiyuk,FA,WR,227.0,105.0,378.0,1.0,2026-08-18
D Neal,NO,RB,228.0,38.0,225.0,1.0,2026-08-18
D Schultz,HOU,TE,229.0,178.0,433.0,1.0,2026-08-18
N Dell,HOU,WR,230.0,85.0,375.0,0.0,2026-08-18
K Johnson,PIT,RB,231.0,36.0,228.0,0.0,2026-08-18
D Douglas,NE,WR,232.0,89.0,369.0,0.0,2026-08-18
T Tagovailoa,ATL,QB,233.0,114.0,687.0,0.0,2026-08-18
A Kamara,NO,RB,241.0,108.0,629.0,0.0,2026-08-18
S Tucker,TB,RB,242.0,96.0,200.0,0.0,2026-08-18
J Royals,KC,WR,,,,,2026-08-18
T Etienne,CAR,RB,,,,,2026-08-18
R Davis,BUF,RB,,,,,2026-08-18
K Miller,NO,RB,,,,,2026-08-18
D Singletary,NYG,RB,,,,,2026-08-18
