asset_type,name,position,value,source_league_type,source_scoring,source_date
rookie_pick_slot,1.01,,83,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.02,,40,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.03,,36,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.04,,33,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.05,,30,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.06,,30,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.07,,29,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.08,,25,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.09,,22,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.10,,21,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.11,,20,Dynasty,PPR,2026-08-20
rookie_pick_slot,1.12,,19,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.01,,18,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.02,,17,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.03,,15,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.04,,15,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.05,,14,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.06,,14,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.07,,13,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.08,,13,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.09,,13,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.10,,12,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.11,,11,Dynasty,PPR,2026-08-20
rookie_pick_slot,2.12,,11,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.01,,9,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.02,,8,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.03,,8,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.04,,7,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.05,,6,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.06,,6,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.07,,6,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.08,,6,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.09,,5,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.10,,5,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.11,,5,Dynasty,PPR,2026-08-20
rookie_pick_slot,3.12,,5,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.01,,4,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.02,,4,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.03,,4,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.04,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.05,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.06,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.07,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.08,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.09,,3,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.10,,2,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.11,,2,Dynasty,PPR,2026-08-20
rookie_pick_slot,4.12,,2,Dynasty,PPR,2026-08-20
future_pick,2027 Random Rd 1,,29,Dynasty,PPR,2026-08-20
future_pick,2028 Random Rd 1,,27,Dynasty,PPR,2026-08-20
future_pick,2027 Random Rd 2,,14,Dynasty,PPR,2026-08-20
future_pick,2028 Random Rd 2,,13,Dynasty,PPR,2026-08-20
future_pick,2027 Random Rd 3,,10,Dynasty,PPR,2026-08-20
future_pick,2028 Random Rd 3,,9,Dynasty,PPR,2026-08-20
future_pick,2027 Random Rd 4,,6,Dynasty,PPR,2026-08-20
future_pick,2028 Random Rd 4,,6,Dynasty,PPR,2026-08-20
future_pick,2027 Random Rd 5,,4,Dynasty,PPR,2026-08-20
future_pick,2028 Random Rd 5,,4,Dynasty,PPR,2026-08-20
player,Josh Allen,QB,45,Dynasty,PPR,2026-08-20
player,Drake Maye,QB,42,Dynasty,PPR,2026-08-20
player,Jayden Daniels,QB,39,Dynasty,PPR,2026-08-20
player,Lamar Jackson,QB,32,Dynasty,PPR,2026-08-20
player,Joe Burrow,QB,32,Dynasty,PPR,2026-08-20
player,Caleb Williams,QB,29,Dynasty,PPR,2026-08-20
player,Justin Herbert,QB,28,Dynasty,PPR,2026-08-20
player,Patrick Mahomes,QB,28,Dynasty,PPR,2026-08-20
player,Jalen Hurts,QB,27,Dynasty,PPR,2026-08-20
player,Trevor Lawrence,QB,25,Dynasty,PPR,2026-08-20
player,Brock Purdy,QB,22,Dynasty,PPR,2026-08-20
player,Jaxson Dart,QB,22,Dynasty,PPR,2026-08-20
player,Bo Nix,QB,21,Dynasty,PPR,2026-08-20
player,Dak Prescott,QB,19,Dynasty,PPR,2026-08-20
player,Jordan Love,QB,18,Dynasty,PPR,2026-08-20
player,Fernando Mendoza,QB,17,Dynasty,PPR,2026-08-20
player,C.J. Stroud,QB,17,Dynasty,PPR,2026-08-20
player,Baker Mayﬁeld,QB,17,Dynasty,PPR,2026-08-20
player,Kyler Murray,QB,16,Dynasty,PPR,2026-08-20
player,Jared Goff,QB,16,Dynasty,PPR,2026-08-20
player,Tyler Shough,QB,16,Dynasty,PPR,2026-08-20
player,Cameron Ward,QB,15,Dynasty,PPR,2026-08-20
player,Sam Darnold,QB,15,Dynasty,PPR,2026-08-20
player,Malik Willis,QB,14,Dynasty,PPR,2026-08-20
player,Bryce Young,QB,12,Dynasty,PPR,2026-08-20
player,Matthew Stafford,QB,11,Dynasty,PPR,2026-08-20
player,Daniel Jones,QB,10,Dynasty,PPR,2026-08-20
player,Ty Simpson,QB,5,Dynasty,PPR,2026-08-20
player,Bijan Robinson,RB,99,Dynasty,PPR,2026-08-20
player,Jahmyr Gibbs,RB,95,Dynasty,PPR,2026-08-20
player,Jeremiyah Love,RB,83,Dynasty,PPR,2026-08-20
player,Ashton Jeanty,RB,80,Dynasty,PPR,2026-08-20
player,De'Von Achane,RB,75,Dynasty,PPR,2026-08-20
player,Jonathan Taylor,RB,75,Dynasty,PPR,2026-08-20
player,Omarion Hampton,RB,73,Dynasty,PPR,2026-08-20
player,James Cook,RB,54,Dynasty,PPR,2026-08-20
player,Kenneth Walker III,RB,50,Dynasty,PPR,2026-08-20
player,Breece Hall,RB,47,Dynasty,PPR,2026-08-20
player,Christian McCaffrey,RB,47,Dynasty,PPR,2026-08-20
player,TreVeyon Henderson,RB,46,Dynasty,PPR,2026-08-20
player,Saquon Barkley,RB,42,Dynasty,PPR,2026-08-20
player,Quinshon Judkins,RB,41,Dynasty,PPR,2026-08-20
player,Chase Brown,RB,38,Dynasty,PPR,2026-08-20
player,Josh Jacobs,RB,37,Dynasty,PPR,2026-08-20
player,Bucky Irving,RB,36,Dynasty,PPR,2026-08-20
player,Kyren Williams,RB,35,Dynasty,PPR,2026-08-20
player,Jadarian Price,RB,30,Dynasty,PPR,2026-08-20
player,Derrick Henry,RB,25,Dynasty,PPR,2026-08-20
player,Cameron Skattebo,RB,25,Dynasty,PPR,2026-08-20
player,Javonte Williams,RB,24,Dynasty,PPR,2026-08-20
player,Travis Etienne,RB,23,Dynasty,PPR,2026-08-20
player,Bhayshul Tuten,RB,19,Dynasty,PPR,2026-08-20
player,Jonathon Brooks,RB,19,Dynasty,PPR,2026-08-20
player,D'Andre Swift,RB,19,Dynasty,PPR,2026-08-20
player,Jaylen Warren,RB,18,Dynasty,PPR,2026-08-20
player,David Montgomery,RB,17,Dynasty,PPR,2026-08-20
player,Rhamondre Stevenson,RB,17,Dynasty,PPR,2026-08-20
player,Zach Charbonnet,RB,17,Dynasty,PPR,2026-08-20
player,Jacory Croskey-Merritt,RB,16,Dynasty,PPR,2026-08-20
player,RJ Harvey,RB,16,Dynasty,PPR,2026-08-20
player,Tony Pollard,RB,15,Dynasty,PPR,2026-08-20
player,Blake Corum,RB,15,Dynasty,PPR,2026-08-20
player,Kyle Monangai,RB,15,Dynasty,PPR,2026-08-20
player,Chuba Hubbard,RB,15,Dynasty,PPR,2026-08-20
player,Woody Marks,RB,15,Dynasty,PPR,2026-08-20
player,Jordan Mason,RB,14,Dynasty,PPR,2026-08-20
player,Tyjae Spears,RB,14,Dynasty,PPR,2026-08-20
player,Kenneth Gainwell,RB,14,Dynasty,PPR,2026-08-20
player,Jonah Coleman,RB,14,Dynasty,PPR,2026-08-20
