rank,name,team,proj,pass_yd,rush_yd,pass_td,rush_td,pass_att,int
1,J Allen,BUF,388.5,3650,535,27,11,474,9
2,L Jackson,BAL,353.0,3380,668,27,5,415,8
3,D Maye,NE,349.8,3854,416,29,4,505,11
4,J Burrow,CIN,339.1,4008,138,33,2,549,10
5,D Prescott,DAL,334.9,4292,152,31,1,580,13
6,B Purdy,SF,333.2,3900,242,30,3,494,13
7,J Hurts,PHI,331.5,3326,515,21,9,462,8
8,J Daniels,WAS,329.7,3328,686,21,6,479,9
9,T Lawrence,JAX,329.4,3788,339,26,5,522,12
10,C Williams,CHI,327.3,3651,373,28,3,514,10
11,B Nix,DEN,321.7,3768,330,26,4,555,12
12,J Herbert,LAC,321.5,3842,338,26,3,533,10
13,J Dart,NYG,318.5,3366,539,22,6,495,12
14,P Mahomes,KC,315.7,3962,202,29,1,555,12
15,J Goff,DET,313.5,4104,53,30,1,533,10
16,M Stafford,LAR,312.2,4033,19,32,0,528,11
17,J Love,GB,305.5,3808,202,27,2,501,10
18,B Mayfield,TB,300.9,3682,306,26,2,526,13
19,K Murray,MIN,295.7,3384,503,21,3,479,9
20,T Shough,NO,292.9,3666,343,22,3,539,12
21,S Darnold,SEA,288.7,3676,157,26,2,478,12
22,M Willis,MIA,287.1,2848,712,17,5,419,9
23,C Stroud,HOU,269.8,3593,201,22,2,505,12
24,B Young,CAR,255.6,3202,245,20,3,493,11
25,C Ward,TEN,246.8,3516,182,19,2,541,13
26,G Smith,NYJ,244.5,3372,156,22,1,489,14
27,D Jones,IND,242.5,3286,191,19,2,469,11
28,F Mendoza,LV,231.2,2894,234,19,2,434,11
29,A Rodgers,PIT,195.0,2700,60,18,0,403,7
30,J Brissett,ARI,175.0,2400,110,15,1,355,7
31,T Tagovailoa,ATL,151.9,2141,43,14,0,308,8
32,M Penix,ATL,118.4,1567,67,10,1,221,5
33,D Watson,CLE,110.1,1374,131,8,2,215,6
34,S Sanders,CLE,104.1,1433,88,7,2,226,5
35,C Beck,ARI,59.9,778,38,5,1,124,4
36,K Cousins,LV,44.2,639,6,5,0,98,3
37,J Fields,KC,36.7,363,102,2,1,55,2
38,T Green,CLE,32.3,335,69,2,1,53,2
39,J Flacco,CIN,31.7,448,8,3,0,69,2
40,G Minshew,ARI,31.0,394,22,3,0,60,2
41,D Carr,NA,30.2,447,13,3,0,66,2
42,M Jones,SF,29.7,423,18,3,0,62,2
43,C Klubnik,NYJ,26.0,400,20,2,0,61,2
44,W Howard,PIT,24.5,410,21,2,0,64,2
45,D Allar,PIT,24.0,398,21,2,0,62,2
46,A Richardson,IND,22.3,193,46,1,1,28,1
47,J McCarthy,MIN,20.6,213,21,1,1,32,1
48,T Lance,LAC,15.6,183,43,1,0,29,1
49,J Milroe,SEA,14.9,164,43,1,0,26,1
50,T Simpson,LAR,14.6,,,,,,
