rank,name,team,proj,rush_yd,rec_yd,rush_td,rec_td,rush_att,rec
1,J Gibbs,DET,331.4,1251,533,12,3,255,63
2,B Robinson,ATL,324.9,1372,537,9,3,280,64
3,C McCaffrey,SF,291.0,984,606,7,4,240,70
4,J Taylor,IND,272.3,1385,278,11,1,287,36
5,J Cook,BUF,260.8,1270,268,11,2,264,31
6,D Achane,MIA,257.4,1168,416,6,2,239,55
7,C Brown,CIN,255.2,945,417,8,3,220,57
8,D Henry,BAL,246.9,1406,133,12,1,281,17
9,S Barkley,PHI,246.7,1220,277,8,2,271,37
10,K Walker,KC,244.0,1158,272,9,2,259,37
11,O Hampton,LAC,242.9,1025,364,8,2,232,48
12,A Jeanty,LV,233.9,1048,341,7,2,244,45
13,J Love,ARI,211.8,897,351,5,2,205,47
14,B Hall,NYJ,211.0,986,314,5,2,220,37
15,K Williams,LAR,208.0,981,219,8,2,228,32
16,D Swift,CHI,208.0,978,272,7,1,217,37
17,T Etienne,NO,207.7,950,287,6,2,226,36
18,J Williams,DAL,207.3,1004,239,7,1,239,37
19,D Montgomery,HOU,206.1,986,235,8,1,236,32
20,J Jacobs,GB,202.6,918,258,8,1,217,33
21,C Skattebo,NYG,201.2,891,301,6,1,214,42
22,B Irving,TB,197.3,902,271,6,2,211,36
23,Q Judkins,CLE,196.0,1012,228,6,1,244,32
24,B Tuten,JAX,174.8,794,234,6,1,184,32
25,T Henderson,NE,171.0,760,260,5,1,170,35
26,J Warren,PIT,170.6,759,267,5,1,172,36
27,J Price,SEA,170.0,912,138,7,1,212,19
28,R Stevenson,NE,169.0,786,214,6,1,183,29
29,R Dowdle,PIT,161.1,678,273,4,1,159,38
30,J Dobbins,DEN,160.2,732,190,6,1,171,26
31,T Pollard,TEN,160.1,794,187,5,1,189,28
32,J Brooks,CAR,154.9,684,245,4,1,160,34
33,K Monangai,CHI,154.6,751,165,6,1,166,23
34,J Mason,MIN,153.7,797,140,6,1,190,20
35,K Gainwell,TB,152.3,418,355,3,2,99,47
36,C Hubbard,CAR,147.9,766,153,5,1,181,22
37,R Harvey,DEN,144.1,515,276,3,2,124,37
38,A Jones,MIN,137.1,563,248,3,1,131,34
39,B Corum,LAR,135.3,757,106,6,0,172,15
40,C Rodriguez,JAX,132.5,728,107,6,0,171,15
41,R White,WAS,128.1,468,253,3,1,114,34
42,J Croskey-Merritt,WAS,127.9,614,135,5,1,141,19
43,T Spears,TEN,114.6,388,248,2,1,92,35
44,T Tracy,NYG,111.3,528,155,3,1,124,21
45,M Washington,LV,97.5,458,117,3,1,111,16
46,K Mitchell,LAC,96.9,435,134,3,1,88,18
47,D Sampson,CLE,88.7,321,176,2,1,78,23
48,W Marks,HOU,83.8,351,137,2,1,86,19
49,B Robinson,ATL,69.9,358,91,2,0,87,13
50,S Perine,CIN,69.8,275,103,2,1,66,14
51,T Allgeier,ARI,69.4,400,54,3,0,95,8
52,J Hill,BAL,67.7,141,176,1,1,33,24
53,Z Charbonnet,SEA,67.2,264,78,3,1,65,11
54,T Bigsby,PHI,65.2,353,59,3,0,82,8
