round,name,position,pick_was_traded
1,Jeremiyah Love,RB,no
1,Fernando Mendoza,QB,yes
1,Carnell Tate,WR,yes
1,Jordyn Tyson,WR,yes
1,Makai Lemon,WR,yes
1,Jadarian Price,RB,yes
1,KC Concepcion,WR,yes
1,Nicholas Singleton,RB,yes
1,Denzel Boston,WR,yes
1,Ty Simpson,QB,yes
1,Kenyon Sadiq,TE,yes
1,Jonah Coleman,RB,yes
2,Omar Cooper,WR,yes
2,Eli Stowers,TE,yes
2,Chris Brazzell,WR,yes
2,Malachi Fields,WR,yes
2,Ted Hurst,WR,yes
2,Elijah Sarratt,WR,yes
2,Germie Bernard,WR,yes
2,Chris Bell,WR,no
2,Antonio Williams,WR,yes
2,Ja'Kobi Lane,WR,yes
2,Carson Beck,QB,yes
2,Max Klare,TE,yes
3,Zachariah Branch,WR,yes
3,Emmett Johnson,RB,no
3,De'Zhaun Stribling,WR,yes
3,Mike Washington,RB,yes
3,Skyler Bell,WR,yes
3,Demond Claiborne,RB,yes
3,Drew Allar,QB,no
3,Oscar Delp,TE,yes
3,Cade Klubnik,QB,yes
3,Deion Burks,WR,yes
3,Justin Joly,TE,yes
3,Bryce Lance,WR,yes
4,Adam Randall,WR,yes
4,Kaytron Allen,RB,yes
4,Garrett Nussmeier,QB,yes
4,Jack Endries,TE,no
4,Brenen Thompson,WR,yes
4,Kaelon Black,RB,yes
4,J'Mari Taylor,RB,yes
4,Taylen Green,QB,yes
4,Le'Veon Moss,RB,yes
4,Eli Heidenreich,WR,yes
4,Tanner Koziol,TE,yes
4,Eli Raridon,TE,no
