rank,name,team,proj,rec,rec_yd,rec_td
1,B Bowers,LV,330.0,102,1077,7
2,T McBride,ARI,306.9,96,969,7
3,C Loveland,CHI,278.4,84,950,6
4,T Warren,IND,263.3,83,862,5
5,S LaPorta,DET,253.5,76,842,6
6,H Fannin,CLE,235.9,74,739,5
7,T Kraft,GB,224.7,67,774,5
8,T Kelce,KC,223.9,70,714,5
9,K Pitts,ATL,221.1,66,756,5
10,G Kittle,SF,215.8,62,713,6
11,D Kincaid,BUF,213.1,66,736,5
12,J Ferguson,DAL,212.3,70,618,5
13,B Strange,JAX,208.3,63,680,5
14,M Andrews,BAL,207.5,60,653,6
15,T Hockenson,MIN,204.5,66,650,4
16,I Likely,NYG,203.8,62,653,5
17,D Schultz,HOU,198.9,64,629,4
18,H Henry,NE,197.0,58,655,5
19,C Okonkwo,WAS,189.8,61,591,4
20,A Barner,SEA,185.9,58,530,4
21,O Gadsden,LAC,183.8,56,618,4
22,J Johnson,NO,182.9,56,609,4
23,D Goedert,PHI,175.8,53,590,4
24,G Helm,TEN,173.1,57,553,3
25,P Freiermuth,PIT,166.7,51,534,4
26,C Otton,TB,162.1,53,513,3
27,D Waller,CAR,157.8,47,516,3
28,G Dulcich,MIA,146.2,47,459,3
29,M Gesicki,CIN,136.4,42,449,3
30,K Sadiq,NYJ,130.2,40,415,3
31,T Ferguson,LAR,126.6,35,413,4
32,M Taylor,NYJ,126.4,40,364,3
33,D Washington,PIT,109.8,33,341,3
34,M Mayer,LV,106.3,34,348,2
35,C Kmet,CHI,105.2,34,337,2
36,E Stowers,PHI,104.7,31,319,3
37,T Johnson,NYG,100.3,31,340,2
38,C Parkinson,LAR,98.0,29,293,3
39,D Knox,BUF,97.4,28,304,3
40,E Engram,DEN,94.0,31,277,2
41,E Arroyo,SEA,94.0,29,312,2
42,J Tonges,SF,93.3,30,288,2
43,W Kacmarek,MIA,80.3,25,246,2
44,N Gray,KC,77.1,24,231,2
45,D Njoku,LAC,75.3,23,230,2
46,J Joly,DEN,75.3,23,230,2
47,J Royer,CLE,75.0,23,228,2
48,M Klare,LAR,72.6,22,221,2
49,J Endries,CIN,69.0,21,203,2
50,E Higgins,ARI,55.4,18,179,1
51,L Musgrave,GB,53.4,17,176,1
52,D Bellinger,TEN,52.9,17,171,1
53,O Delp,NO,52.2,17,164,1
54,C Kolar,LAC,50.4,16,162,1
55,Z Ertz,NA,48.7,16,147,1
56,J Gyllenborg,KC,48.6,11,114,1
57,N Fant,NO,47.9,15,156,1
58,J Smith,NA,47.1,15,139,1
59,M Trigg,DAL,44.3,14,138,1
60,S Roush,CHI,44.0,14,135,1
61,A Hooper,ATL,43.7,14,132,1
62,C Stover,HOU,43.7,14,130,1
63,E Raridon,NE,43.5,14,130,1
64,T Higbee,LAR,43.4,14,129,1
65,T Koziol,JAX,43.3,14,128,1
66,J Hawes,BUF,41.6,13,129,1
67,J Bates,WAS,41.5,13,128,1
68,T Tremble,CAR,41.5,13,128,1
69,M Hibner,BAL,41.5,13,128,1
70,D Sample,CIN,41.4,13,126,1
71,M Kitselman,NA,41.4,13,126,1
72,J Kanak,TEN,41.4,,,
