rank,name,team,proj,rec,rec_yd,rec_td
1,P Nacua,LAR,312.5,107,1400,10
2,J Chase,CIN,311.1,109,1345,11
3,J Smith-Njigba,SEA,284.6,99,1343,8
4,A St. Brown,DET,280.5,106,1249,8
5,C Lamb,DAL,270.5,96,1249,8
6,N Collins,HOU,262.0,84,1262,8
7,J Jefferson,MIN,250.4,90,1178,7
8,D London,ATL,250.2,90,1156,7
9,A Brown,NE,247.2,79,1176,8
10,G Pickens,DAL,245.7,80,1211,7
11,C Olave,NO,235.9,82,1093,7
12,R Rice,KC,229.3,88,964,7
13,D Smith,PHI,229.2,80,1066,7
14,Z Flowers,BAL,228.2,81,1103,6
15,L McConkey,LAC,228.2,81,1040,7
16,M Nabers,NYG,227.3,82,1057,6
17,G Wilson,NYJ,224.9,83,1043,6
18,T Higgins,CIN,224.4,75,1048,7
19,E Egbuka,TB,224.0,77,1029,7
20,T McMillan,CAR,223.0,77,1074,6
21,M Evans,SF,222.2,70,1022,8
22,J Waddle,DEN,221.0,77,1002,7
23,T McLaurin,WAS,213.8,74,1031,6
24,P Washington,JAX,212.4,72,906,7
25,L Burden,CHI,209.0,72,889,7
26,R Odunze,CHI,207.9,68,973,7
27,C Watson,GB,207.6,63,1012,7
28,J Williams,DET,206.2,60,998,7
29,J Reed,GB,197.6,70,853,6
30,B Thomas,JAX,195.4,62,897,7
31,D Adams,LAR,192.5,63,795,8
32,M Harrison,ARI,186.2,62,882,6
33,D Metcalf,PIT,183.3,62,843,6
34,D Moore,BUF,179.0,63,851,5
35,A Pierce,IND,177.9,54,872,6
36,C Tate,TEN,177.3,65,813,5
37,C Sutton,DEN,174.3,59,793,6
38,C Godwin,TB,173.6,68,750,5
39,J Downs,IND,172.3,70,770,4
40,J Addison,MIN,171.7,60,795,5
41,M Pittman,PIT,170.9,69,772,4
42,K Shakir,BUF,170.7,71,747,4
43,W Robinson,TEN,170.7,71,741,4
44,M Golden,GB,170.1,58,770,5
45,J Meyers,JAX,169.3,64,732,5
46,M Lemon,PHI,168.5,60,775,5
47,M Wilson,ARI,166.0,59,764,5
48,J Coker,CAR,165.9,60,753,5
49,Q Johnston,LAC,163.9,58,748,5
50,X Worthy,KC,161.5,55,695,4
51,R Doubs,NE,161.2,57,742,5
52,S Diggs,WAS,157.3,64,687,4
53,K Concepcion,CLE,156.4,58,710,4
54,D Samuel,SF,155.7,56,628,4
55,R Shaheed,SEA,138.1,45,665,4
56,D Boston,CLE,134.7,53,624,3
57,M Washington,MIA,131.3,48,472,3
58,J Nailor,LV,130.6,46,587,4
59,D Stribling,SF,128.4,46,584,4
60,J McMillan,TB,127.4,44,561,4
61,O Cooper,NYJ,127.1,45,567,4
62,T Tucker,LV,125.9,46,582,3
63,K Boutte,HOU,125.2,41,602,4
64,R Flournoy,DAL,121.2,47,549,3
65,J Jeudy,CLE,119.6,43,581,3
66,T Harris,LAC,112.9,39,493,4
67,J Tyson,NO,111.0,41,514,3
68,D Vele,NO,110.6,42,496,3
69,K Allen,IND,106.8,44,448,3
70,J Jennings,MIN,105.7,,,
71,J Lane,BAL,104.9,35,453,4
72,R Bateman,BAL,102.3,36,483,3
73,G Bernard,PIT,98.9,36,439,3
74,A Mitchell,NYJ,98.3,35,443,3
75,T Hurst,TB,97.9,36,426,3
76,T Hunter,JAX,96.6,35,415,3
77,P Bryant,DEN,96.4,35,425,3
78,C Douglas,MIA,94.8,34,428,3
79,C Allen,DEN,94.5,34,425,3
80,T Hill,KC,93.7,33,422,3
81,T Horton,SEA,92.0,31,421,3
82,A Iosivas,CIN,91.3,32,403,3
83,M Fields,NYG,91.0,32,404,3
84,C Dike,NYJ,89.4,38,384,2
85,I TeSlaa,DET,87.1,28,402,3
86,C Kupp,SEA,86.4,32,364,3
87,K Coleman,BUF,85.8,29,375,3
88,J Noel,HOU,85.2,32,374,2
89,D Slayton,NYG,83.6,27,386,3
90,D Douglas,NE,80.4,29,360,2
91,Z Branch,ATL,78.5,30,365,2
92,J Bech,LV,77.9,30,350,2
93,K Bourne,ARI,77.4,31,344,2
94,C Ridley,TEN,77.3,27,377,2
95,O Zaccheaus,ATL,75.8,30,326,2
96,A Williams,WAS,75.2,28,339,2
97,K Turpin,DAL,71.5,21,268,2
98,J Dotson,ATL,71.2,26,316,2
99,D Wicks,PHI,70.4,26,316,2
100,M Mims,DEN,69.9,27,293,2
101,M Brown,WAS,67.5,25,305,2
102,C Bell,MIA,67.2,25,299,2
103,T Franklin,DEN,66.1,24,287,2
104,X Legette,CAR,66.0,24,290,2
105,S Bell,BUF,63.6,22,291,2
106,B Brown,NO,63.0,22,290,2
107,I Bond,CLE,62.8,22,269,2
108,T Thornton,KC,62.6,20,306,2
109,E Sarratt,BAL,61.4,22,270,2
110,M Benson,LV,60.6,21,276,2
111,J Cameron,JAX,59.6,21,244,2
112,D Mooney,NYG,58.6,19,273,2
113,M Hollins,NE,57.6,20,250,2
114,Z Thomas,CHI,57.2,20,252,2
115,E Ayomanor,TEN,56.7,20,247,2
116,C Austin,NYG,54.8,21,261,1
117,T Dell,HOU,51.9,17,218,2
118,B Aiyuk,SF,49.6,16,213,2
119,J Metchie,CAR,48.8,20,220,1
120,G Dortch,DET,48.1,21,215,1
121,C Kirk,SF,46.4,19,205,1
122,K Mumpfield,LAR,41.7,,,
